questionID;text;description;category;choicesMissingInfo
1;Wo würdest du deine Nächte verbringen?;In Hamburg gibt es viele Einrichtungen, in denen Obdachlose kostenlos übernachten können. Aufgrund der Corona-Pandemie sind diese allerdings häufig nur eingeschränkt nutzbar oder teilweise ganz geschlossen. Eine Übernachtung im Freien ist zwar sehr flexibel, im Winter allerdings lebensgefährlich.;Unterkunft;Leider hast du keine Antwort zum Thema Unterkunft gegeben.
2;Wie würdest du deine täglichen Mahlzeiten gestalten?;Viele obdach- oder wohnungslose Menschen sind beim Essen auf Spenden oder Einrichtungen angewiesen. Aufgrund der Corona-Pandemie, müssen viele Anlaufstellen ihr Angebot reduzieren oder sogar ganz schließen. Häufig können Einrichtungen ihr Essen nur noch zum Mitnehmen anbieten.;Essen;Leider hast du keine Antwort zum Thema Essen gegeben.
3;Wie würdest du dir Trinkwasser besorgen?;Nicht jede*r Obdachlose*r hat Zugang zu fließendem Wasser. Wegen der Corona-Pandemie sind die frei zugänglichen Trinkbrunnen in Hamburg geschlossen. Auch in Gaststätten kann man sich kein Wasser mehr besorgen.;Trinken;Leider hast du keine Antwort zum Thema Trinken gegeben.
4;Möchtest du ab und zu Extras wie Schokolade oder Kaffee haben?;Kleine Extras in der Ernährung sind zwar nicht so wichtig für den Körper, allerdings kann die Psyche positiv auf Besonderheiten reagieren. Gerade auf der Straße kann zum Beispiel ein warmer Kakao Kraft geben. ;Genuss;Leider hast du keine Antwort zum Thema Genuss gegeben.
5;Möchtest du mit Bus & Bahn mobil sein?;Wenn man auf der Straße lebt, besitzt man häufig kein eigenes Verkehrmittel um von A nach B zu kommen. Eine Bahnfahrt bringt einem nicht nur Mobilität, sondern kann auch warm und trocken halten. Dank eines Sozialberechtigungsrabatts ist es möglich, Dauerkarten für weniger Geld zu erwerben;Öffentliche Verkehrsmittel;Leider hast du keine Antwort zum Thema Öffentliche Verkehrsmittel gegeben.
6;Möchtest du ein Fahrrad haben?;Obwohl es zunächst unüblich klingt, bringt ein Fahrrad mehr Mobilität und Lagerort für Gepäck. ;Fahrrad;Leider hast du keine Antwort zum Thema Fahrrad gegeben.
7;Wie oft möchtest du duschen?;Der Zugang zu Körperhygiene ist für viele Menschen selbstverständlich. Besonders erschwert ist dies für Obdach - und Wohnungslose aufgrund geschlossener Einrichtungen während der Corona-Pandemie;Duschen;Leider hast du keine Antwort zum Thema Duschen gegeben.
8;Wo möchtest du auf die Toilette gehen ?;Obdach- und wohnungslose Menschen haben keinen uneingeschränkten Zugang zu einem WC. Viele öffentliche Toiletten sind aufgrund der Corona-Pandemie nicht mehr zugänglich. ;Toilette;Leider hast du keine Antwort zum Thema Toilette gegeben.
9;Möchtest du dir deine Zähne putzen?;Zahnhygiene ist essenziell um viele Krankheiten und damit verbundene Kosten zu vermeiden. ;Zahnpflege;Leider hast du keine Antwort zum Thema Zahnpflege gegeben.
10;Möchtest du medizinisch versorgt werden?;Es gibt spezielle Angebote für die ärztliche Versorgung, die kostenlos genutzt werden können, auch während Corona-Pandemie. Zuzahlungen zu Medikamenten müssen wie von anderen Kassenpatient*innen gezahlt werden und können sich schnell summieren. ;Gesundheit;Leider hast du keine Antwort zum Thema Gesundheit gegeben.
11;Benötigst du Hygieneartikel für Frauen?;Laut der GOE gab es über 1.562 obdachlose Frauen auf den Straßen Hamburgs, auch sie brauchen regelmäßig Hygieneartikel.;Frauenhygiene Produkte;Leider hast du keine Antwort zum Thema Frauenhygiene Produkte gegeben.
12;Möchtest du regelmäßig legale Rauschmittel konsumieren?;Legale Rauschmittel wie Zigaretten und Alkohol werden von vielen Obdachlosen konsumiert. Regelmäßiger Konsum führt allerdings zu Abhängigkeiten und gesundheitlichen Problemen. ;Alkohol und Tabak;Leider hast du keine Antwort zum Thema Alkohol und Tabak gegeben.
13;Möchtest du regelmäßig illegale Rauschmittel konsumieren?;Suchterkrankungen sind leider häufig die Realität von Menschen auf der Straße. Es wird ein teurer Preis dafür gezahlt, die Probleme kurzzeitig zu vergessen.;Abhängigkeit;Leider hast du keine Antwort zum Thema Abhängigkeit gegeben.
14;Wo möchte du dein Gepäck aufbewahren?;Die Unterbringung von Gepäck ist wichtig, um sich als obdach- oder wohnungslose Person frei bewegen zu können.;Aufbewahrung;Leider hast du keine Antwort zum Thema Aufbewahrung gegeben.
15;Möchtest du einen tierischen Begleiter bei dir haben?;Tiere sind treue Begleiter, auch für das Leben auf der Straße.;Tiere;Leider hast du keine Antwort zum Thema Tiere gegeben.
16;Möchtest du regelmäßig deine Kleidung wechseln?;Das äußere Erscheinungsbild wird maßgeblich von der Kleidung bestimmt. Als obdach- oder wohnungslose Person hat man die Möglichkeit kostenlos oder für wenig Geld Kleidung in sozialen Einrichtungen zu erhalten. Da es dort wenig Auswahl gibt, kaufen sich einige Menschen zusätzlich Kleidung nach ihrem Geschmack. ;Kleidung;Leider hast du keine Antwort zum Thema Kleidung gegeben.
17;In welcher Form möchtest du auf das Internet zugreifen und erreichbar sein?;Internet und Kommunikation sind in der aktuellen Zeit fast unentberhlich. Mit einem eigenen Gerät ist es möglich mit Bekanntschaften in Kontakt zu bleiben und mithilfe des Internets lassen sich unzählige Informationen einholen.;Kommunikation;Leider hast du keine Antwort zum Thema Kommunikation gegeben.
